Transaction_Time,Open,High,Low,Close,Volume,Ticker,Log_Return,Volatility_20m,Price_Gap,RSI_14m,Risk_Limit_USD,Entry_Price,Exit_Price,Trade_PnL,Slippage_USD,Cum_PnL,Peak,Drawdown
2026-04-06 19:06:00-04:00,4686.700195,4687.100098,4686.700195,4687,4,GC=F,6.40E-05,0.000204282,0,55.75095057,500,4686.700195,4687,29.98046875,0.445603238,-699.4140625,6330.322266,-7029.736328
2026-04-06 19:06:00-04:00,110.84375,110.84375,110.84375,110.84375,3,ZN=F,0,7.20E-05,0,50,500,110.84375,110.84375,0,0.264222681,39.0625,46.875,-7.8125
2026-04-06 19:06:00-04:00,6646,6646.5,6645.5,6646,72,ES=F,3.76E-05,0.000153176,0.25,51.06382979,500,6646,6646,0,0.326035125,3100,4375,-1275
2026-04-06 19:07:00-04:00,4686.899902,4686.899902,4684.399902,4684.899902,64,GC=F,-0.000448169,0.000226803,-0.100097656,49.60593595,500,4686.899902,4684.899902,-200,0.47512941,-899.4140625,6330.322266,-7229.736328
2026-04-06 19:07:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,7.20E-05,0,50,500,110.84375,110.84375,0,0.348652024,39.0625,46.875,-7.8125
2026-04-06 19:07:00-04:00,6646.25,6646.5,6646,6646,53,ES=F,0,0.000152944,0.25,57.14285714,500,6646.25,6646,-25,0.125165276,3075,4375,-1300
2026-04-06 19:08:00-04:00,6645.75,6646,6645.25,6645.75,56,ES=F,-3.76E-05,0.000152102,-0.25,55.81395349,500,6645.75,6645.75,0,0.496025882,3075,4375,-1300
2026-04-06 19:08:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,7.20E-05,0,50,500,110.84375,110.84375,0,0.471573383,39.0625,46.875,-7.8125
2026-04-06 19:08:00-04:00,4685.799805,4686.5,4685.5,4685.5,16,GC=F,0.000128084,0.000225987,0.899902344,54.76245834,500,4685.799805,4685.5,-29.98046875,0.26033068,-929.3945313,6330.322266,-7259.716797
2026-04-06 19:09:00-04:00,6645.5,6646.75,6645.5,6646.5,50,ES=F,0.000112848,0.000154145,-0.25,56.81818182,500,6645.5,6646.5,100,0.154252266,3175,4375,-1200
2026-04-06 19:09:00-04:00,4685.299805,4687.5,4685,4687.5,23,GC=F,0.000426758,0.000247355,-0.200195313,61.37787056,500,4685.299805,4687.5,220.0195313,0.326035125,-709.375,6330.322266,-7039.697266
2026-04-06 19:09:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,6.47E-05,0,66.66666667,500,110.84375,110.84375,0,0.379657444,39.0625,46.875,-7.8125
2026-04-06 19:10:00-04:00,4686.5,4688,4686.399902,4687,23,GC=F,-0.000106672,0.000248437,-1,60.95913317,500,4686.5,4687,50,0.125165276,-659.375,6330.322266,-6989.697266
2026-04-06 19:10:00-04:00,6646.25,6649.25,6646.25,6649,317,ES=F,0.000376067,0.000168626,-0.25,76.08695652,500,6646.25,6649,275,0.474229298,3450,4375,-925
2026-04-06 19:10:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,6.47E-05,0,50,500,110.84375,110.84375,0,0.14672317,39.0625,46.875,-7.8125
2026-04-06 19:11:00-04:00,6648.75,6648.75,6648.5,6648.5,55,ES=F,-7.52E-05,0.00016348,-0.25,71.11111111,500,6648.75,6648.5,-25,0.342340992,3425,4375,-950
2026-04-06 19:11:00-04:00,4686.799805,4687.5,4686.700195,4687.5,4,GC=F,0.000106672,0.000241121,-0.200195313,61.22367634,500,4686.799805,4687.5,70.01953125,0.496025882,-589.3554688,6330.322266,-6919.677734
2026-04-06 19:11:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,6.47E-05,0,50,500,110.84375,110.84375,0,0.064032411,39.0625,46.875,-7.8125
2026-04-06 19:12:00-04:00,4686.399902,4686.600098,4686.399902,4686.600098,3,GC=F,-0.000191998,0.000243502,-1.100097656,56.29102668,500,4686.399902,4686.600098,20.01953125,0.154252266,-569.3359375,6330.322266,-6899.658203
2026-04-06 19:12:00-04:00,6648.5,6649,6648.25,6649,57,ES=F,7.52E-05,0.000161129,0,72.34042553,500,6648.5,6649,50,0.323481558,3475,4375,-900
2026-04-06 19:12:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,6.47E-05,0,50,500,110.84375,110.84375,0,0.16801882,39.0625,46.875,-7.8125
2026-04-06 19:13:00-04:00,6648.75,6649,6648.25,6648.25,63,ES=F,-0.000112805,0.00015672,-0.25,70.83333333,500,6648.75,6648.25,-50,0.28070983,3425,4375,-950
2026-04-06 19:13:00-04:00,110.84375,110.84375,110.84375,110.84375,1,ZN=F,0,6.47E-05,0,100,500,110.84375,110.84375,0,0.317785069,39.0625,46.875,-7.8125
2026-04-06 19:13:00-04:00,4687.899902,4687.899902,4687.700195,4687.799805,3,GC=F,0.000255954,0.000246422,1.299804688,58.4896969,500,4687.899902,4687.799805,-10.00976563,0.474229298,-579.3457031,6330.322266,-6909.667969
2026-04-06 19:14:00-04:00,4687.100098,4687.100098,4685.899902,4686.600098,11,GC=F,-0.000255954,0.000251597,-0.699707031,60.39063986,500,4687.100098,4686.600098,-50,0.342340992,-629.3457031,6330.322266,-6959.667969
